line_Treat 0,line_Treat 1,line_Treat 2,line_Treat 3,bin_Treat 0,bin_Treat 1,bin_Treat 2,bin_Treat 3
NaN,NaN,NaN,0.47528686588431684,NaN,NaN,NaN,0.21307404883848546
NaN,NaN,NaN,0.36607053017609686,NaN,NaN,NaN,0.2223381379184196
NaN,NaN,NaN,0.27811750903795585,NaN,NaN,NaN,0.23160222699835378
NaN,NaN,NaN,0.20842341205839696,NaN,NaN,NaN,0.24086631607828793
NaN,NaN,NaN,0.15407042459550258,NaN,NaN,NaN,0.2501304051582221
NaN,NaN,NaN,0.11234316764051996,NaN,NaN,NaN,0.25939449423815625
NaN,NaN,NaN,0.08080321828457922,NaN,NaN,NaN,0.2686585833180904
NaN,NaN,NaN,0.057327797862570494,NaN,NaN,NaN,0.27792267239802454
NaN,NaN,NaN,0.04011958834206271,NaN,NaN,NaN,0.2871867614779587
NaN,NaN,NaN,0.02769505835067979,NaN,NaN,NaN,0.29645085055789283
NaN,NaN,NaN,0.0188583073042828,NaN,NaN,NaN,0.305714939637827
NaN,NaN,NaN,0.012666532451205748,NaN,NaN,NaN,0.3149790287177611
NaN,NaN,NaN,0.008392036795629403,NaN,NaN,NaN,0.32424311779769527
NaN,NaN,NaN,0.005484431623424552,NaN,NaN,NaN,0.3335072068776294
NaN,NaN,NaN,0.00353549706398627,NaN,NaN,NaN,0.34277129595756356
NaN,NaN,NaN,0.002248143055753389,NaN,NaN,NaN,0.35203538503749776
NaN,NaN,NaN,0.0014101068200252985,NaN,NaN,NaN,0.3612994741174319
NaN,NaN,NaN,0.0008724382353089684,NaN,NaN,NaN,0.37056356319736605
NaN,NaN,NaN,0.000532441595105006,NaN,NaN,NaN,0.3798276522773002
NaN,NaN,NaN,0.00032052644643894984,NaN,NaN,NaN,0.38909174135723434
NaN,NaN,NaN,0.00019033136805725732,NaN,NaN,NaN,0.3983558304371685
NaN,NaN,NaN,0.00011148372655262235,NaN,NaN,NaN,0.40761991951710264
NaN,NaN,NaN,6.441206065427618e-05,NaN,NaN,NaN,0.4168840085970368
NaN,NaN,NaN,3.6709419483241454e-05,NaN,NaN,NaN,0.4261480976769709
NaN,NaN,NaN,2.063680439886395e-05,NaN,NaN,NaN,0.4354121867569051
NaN,NaN,NaN,1.1443582017906843e-05,NaN,NaN,NaN,0.4446762758368392
NaN,NaN,NaN,6.259449400252125e-06,NaN,NaN,NaN,0.4539403649167734
NaN,NaN,NaN,3.3772630394998283e-06,NaN,NaN,NaN,0.46320445399670757
NaN,NaN,NaN,1.7974145331898476e-06,NaN,NaN,NaN,0.4724685430766417
NaN,NaN,NaN,9.435962761703877e-07,NaN,NaN,NaN,0.48173263215657586
NaN,NaN,NaN,4.886285012409471e-07,NaN,NaN,NaN,0.49099672123651
NaN,NaN,NaN,2.4958930980274295e-07,NaN,NaN,NaN,0.5002608103164442
NaN,NaN,NaN,1.2575572705855718e-07,NaN,NaN,NaN,0.5095248993963784
NaN,NaN,NaN,6.250059797233616e-08,NaN,NaN,NaN,0.5187889884763125
NaN,NaN,NaN,3.064045288386206e-08,NaN,NaN,NaN,0.5280530775562466
NaN,NaN,NaN,1.481701755619444e-08,NaN,NaN,NaN,0.5373171666361808
NaN,NaN,NaN,7.0677473827098545e-09,NaN,NaN,NaN,0.5465812557161149
NaN,NaN,NaN,3.325491553375947e-09,NaN,NaN,NaN,0.5558453447960491
