Treat 0,Treat 1,Treat 2,Treat 3
0.6965015512265509,0.04691190476190472,0.05283694083694086,0.016982142857142862
0.5393778860028858,0.011372619047619043,0.10214880952380954,0.18645119047619052
0.6339488816738812,0.097847619047619,0.31515476190476194,0.0
0.019244047619047626,0.10003293650793642,0.12052103174603183,0.0
0.3491706349206349,0.46733542568542574,0.24158798701298703,0.120068253968254
0.6194550144300146,0.19752258297258316,0.03748726551226552,0.44381071428571434
0.7289559523809523,0.16461024531024546,0.24339007936507928,0.0
0.8317324675324674,0.21597182539682533,0.1583207792207793,0.11591904761904762
0.6205646825396826,0.04579294039294041,0.03642698412698411,0.0012500000000000005
0.14579646464646465,0.0197746031746032,0.13775793650793644,0.45559444444444436
0.7609165945165939,0.022811652236652245,0.07602222222222225,0.016886111111111112
0.6615253968253969,0.017589285714285703,0.07478575036075041,0.168345634920635
0.32715746753246755,0.08013311688311688,0.06945241702741702,0.1781666666666667
0.16539274891774897,0.09778134920634925,0.04808492063492066,0.016523809523809527
0.5149723665223664,0.19705381007881026,0.545303787878788,0.06496785714285716
0.5971942640692641,0.15622936507936513,0.01270952380952381,0.009967460317460318
0.01431547619047619,0.10585155122655131,0.005150000000000002,0.004272222222222221
0.6565577922077926,0.08626825396825406,0.0681357142857143,0.006000000000000002
0.856860497835498,0.34154444444444443,0.032908333333333345,0.01718015873015874
0.5925825396825395,0.21313535353535348,0.2578392857142856,0.01027619047619048
0.9153194444444444,0.030684920634920645,0.01609126984126982,0.15109206349206342
0.35523968253968236,0.10182976190476199,0.07599047619047623,0.03500515873015875
0.7016120851370852,0.5710563492063491,0.08935793650793654,0.003320238095238097
0.6837680375180377,0.4669559523809522,0.023984523809523824,0.001
0.7267527777777778,0.03216190476190476,0.027316666666666642,0.0028
0.6326460317460315,0.5113836580086578,0.13186468253968275,0.04589285714285716
0.15453888888888895,0.0612214285714286,0.2073777777777777,0.011666666666666665
0.2713361111111114,0.2772514430014427,0.08664682539682533,0.12260793650793657
0.2681343795093795,0.0059190476190476154,0.059686507936507996,0.11801150793650793
0.4268942640692643,0.038216991341991365,0.3460488095238094,0.06729610389610391
0.580454365079365,0.4763028860028864,0.037797619047619066,0.0
0.800434451659452,0.03689920634920635,0.02272261904761906,0.0
0.8964467532467529,0.04444246031746032,0.0038666666666666676,0.0019714285714285706
0.6091221500721501,0.04636587301587301,0.06841785714285717,0.24766706349206338
0.79131746031746,0.05807424242424254,0.08607380952380952,0.3090150793650794
0.1954855311355311,0.03867702020202021,0.11471428571428581,0.04361024531024531
0.14360436507936516,0.06442499999999998,0.040244841269841215,0.007433333333333333
0.5945371933621934,0.20724007936507954,0.1153083333333334,0.0
0.3582789682539683,0.24850503663003656,0.1238698412698413,0.0
0.7839591269841268,0.4248892857142857,0.019005663780663748,0.142881746031746
0.5972607503607503,0.2934726190476191,0.2703286796536798,0.0
0.308759126984127,0.05628174603174605,0.015497619047619048,0.1704515873015871
0.7013731240981234,0.0214978354978355,0.2731187229437231,0.00225
0.6955500000000004,0.14408802308802318,0.029486904761904763,0.03285952380952381
0.6658619047619048,0.07305158730158735,0.3353195526695525,0.012450000000000001
0.8333623015873018,0.07493650793650786,0.06794246031746035,0.0
