year,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
1989,0.0,0.0,0.0,0.08641975308641975,0.3004115226337449,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3004115226337449,0.2962962962962963,0.3374485596707819,0.3374485596707819,0.345679012345679,0.4567901234567901,0.08641975308641975,0.0,0.345679012345679,0.34156378600823045,0.34156378600823045
1990,0.0,0.0,0.0,0.08641975308641975,0.3004115226337449,0.5761316872427984,0.08641975308641975,0.4444444444444444,0.2962962962962963,0.2962962962962963,0.2839506172839506,0.2839506172839506,0.2880658436213992,0.38271604938271603,0.08641975308641975,0.0,0.2880658436213992,0.2839506172839506,0.2839506172839506
1991,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5761316872427984,0.08641975308641975,0.4403292181069959,0.31275720164609055,0.30864197530864196,0.2716049382716049,0.2716049382716049,0.27983539094650206,0.3950617283950617,0.08641975308641975,0.0,0.27983539094650206,0.2757201646090535,0.2757201646090535
1992,0.0,0.0,0.0,0.08641975308641975,0.31275720164609055,0.5761316872427984,0.08641975308641975,0.37037037037037035,0.31275720164609055,0.30864197530864196,0.2674897119341564,0.2674897119341564,0.2757201646090535,0.3950617283950617,0.08641975308641975,0.0,0.2757201646090535,0.2716049382716049,0.2716049382716049
1993,0.0,0.0,0.0,0.08641975308641975,0.31275720164609055,0.5761316872427984,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.26337448559670784,0.26337448559670784,0.2716049382716049,0.3950617283950617,0.08641975308641975,0.0,0.2716049382716049,0.2674897119341564,0.2674897119341564
1994,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.26337448559670784,0.26337448559670784,0.2716049382716049,0.3950617283950617,0.08641975308641975,0.0,0.2716049382716049,0.2674897119341564,0.2674897119341564
1995,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.26337448559670784,0.26337448559670784,0.2716049382716049,0.3950617283950617,0.08641975308641975,0.0,0.2716049382716049,0.2674897119341564,0.2674897119341564
1996,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.26337448559670784,0.26337448559670784,0.2716049382716049,0.3950617283950617,0.08641975308641975,0.0,0.2716049382716049,0.2674897119341564,0.2674897119341564
1997,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.26337448559670784,0.26337448559670784,0.2716049382716049,0.3950617283950617,0.08641975308641975,0.0,0.2716049382716049,0.2674897119341564,0.2674897119341564
1998,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.25925925925925924,0.25925925925925924,0.2674897119341564,0.3950617283950617,0.08641975308641975,0.0,0.2674897119341564,0.26337448559670784,0.26337448559670784
1999,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.2551440329218107,0.2551440329218107,0.25925925925925924,0.3950617283950617,0.08641975308641975,0.0,0.26337448559670784,0.25925925925925924,0.25925925925925924
2000,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.2551440329218107,0.2551440329218107,0.25925925925925924,0.3950617283950617,0.08641975308641975,0.0,0.26337448559670784,0.25925925925925924,0.25925925925925924
2001,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.2551440329218107,0.2551440329218107,0.25925925925925924,0.3950617283950617,0.08641975308641975,0.0,0.25925925925925924,0.2551440329218107,0.2551440329218107
