country,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
BRB,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.24324324324324326,0.14864864864864866,1.0,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
BTN,0.0,0.0,0.0,0.14864864864864866,1.0,1.0,0.14864864864864866,0.013513513513513514,1.0,1.0,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
BWA,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.24324324324324326,0.14864864864864866,0.24324324324324326,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CAF,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.4594594594594595,0.14864864864864866,0.16216216216216217,0.28378378378378377,0.28378378378378377,0.0,0.0,0.02702702702702703,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CAN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CHE,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CHL,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.06756756756756757,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CHN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.13513513513513514,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.08108108108108109,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CIV,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.24324324324324326,0.14864864864864866,0.16216216216216217,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CMR,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.24324324324324326,0.14864864864864866,0.14864864864864866,0.28378378378378377,0.28378378378378377,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.16216216216216217,0.16216216216216217,0.16216216216216217
