,year,hc,country
503,1963,,ATG
504,1964,,ATG
505,1965,,ATG
506,1966,,ATG
507,1967,,ATG
508,1968,,ATG
509,1969,,ATG
510,1970,,ATG
511,1971,,ATG
512,1972,,ATG
513,1973,,ATG
514,1974,,ATG
515,1975,,ATG
516,1976,,ATG
517,1977,,ATG
518,1978,,ATG
519,1979,,ATG
520,1980,,ATG
521,1981,,ATG
522,1982,,ATG
523,1983,,ATG
524,1984,,ATG
525,1985,,ATG
526,1986,,ATG
527,1987,,ATG
528,1988,,ATG
529,1989,,ATG
530,1990,,ATG
531,1991,,ATG
532,1992,,ATG
533,1993,,ATG
534,1994,,ATG
535,1995,,ATG
536,1996,,ATG
537,1997,,ATG
538,1998,,ATG
539,1999,,ATG
540,2000,,ATG
541,2001,,ATG
542,2002,,ATG
543,2003,,ATG
544,2004,,ATG
545,2005,,ATG
546,2006,,ATG
547,2007,,ATG
548,2008,,ATG
549,2009,,ATG
550,2010,,ATG
551,2011,,ATG
552,2012,,ATG
553,2013,,ATG
554,2014,,ATG
555,2015,,ATG
556,2016,,ATG
557,2017,,ATG
558,2018,,ATG
559,2019,,ATG
560,1950,2.667301893234253,AUS
561,1951,2.6743435859680176,AUS
562,1952,2.681403398513794,AUS
563,1953,2.6884822845458984,AUS
564,1954,2.695579767227173,AUS
565,1955,2.702695846557617,AUS
566,1956,2.711451530456543,AUS
567,1957,2.720235586166382,AUS
568,1958,2.7290477752685547,AUS
569,1959,2.737889051437378,AUS
570,1960,2.746758460998535,AUS
571,1961,2.768152952194214,AUS
572,1962,2.7897136211395264,AUS
573,1963,2.8114423751831055,AUS
574,1964,2.833340644836426,AUS
575,1965,2.8554093837738037,AUS
576,1966,2.8776497840881348,AUS
577,1967,2.9000635147094727,AUS
578,1968,2.922651767730713,AUS
579,1969,2.945416212081909,AUS
580,1970,2.968357801437378,AUS
581,1971,2.991992712020874,AUS
582,1972,3.0158162117004395,AUS
583,1973,3.0398292541503906,AUS
584,1974,3.0640335083007812,AUS
585,1975,3.088430404663086,AUS
586,1976,3.1130216121673584,AUS
587,1977,3.1378087997436523,AUS
588,1978,3.1627931594848633,AUS
589,1979,3.187976598739624,AUS
590,1980,3.21336030960083,AUS
591,1981,3.232604742050171,AUS
592,1982,3.251964807510376,AUS
593,1983,3.2714405059814453,AUS
594,1984,3.2910332679748535,AUS
595,1985,3.3107428550720215,AUS
596,1986,3.330570697784424,AUS
597,1987,3.3505172729492188,AUS
598,1988,3.3705832958221436,AUS
599,1989,3.3907697200775146,AUS
600,1990,3.411076784133911,AUS
601,1991,3.4236228466033936,AUS
602,1992,3.4362151622772217,AUS
603,1993,3.4488537311553955,AUS
604,1994,3.461538791656494,AUS
605,1995,3.4742705821990967,AUS
606,1996,3.4870493412017822,AUS
607,1997,3.4998748302459717,AUS
608,1998,3.5127477645874023,AUS
609,1999,3.525667667388916,AUS
610,2000,3.538635492324829,AUS
611,2001,3.5275118350982666,AUS
612,2002,3.516423463821411,AUS
613,2003,3.5053696632385254,AUS
614,2004,3.4943506717681885,AUS
615,2005,3.4833664894104004,AUS
616,2006,3.472416639328003,AUS
617,2007,3.461501359939575,AUS
618,2008,3.450620174407959,AUS
619,2009,3.4397735595703125,AUS
620,2010,3.4289608001708984,AUS
621,2011,3.442167043685913,AUS
622,2012,3.4554243087768555,AUS
623,2013,3.4687328338623047,AUS
624,2014,3.4820923805236816,AUS
625,2015,3.4955034255981445,AUS
626,2016,3.5089662075042725,AUS
627,2017,3.5224807262420654,AUS
628,2018,3.5360474586486816,AUS
629,2019,3.549666166305542,AUS
630,1950,2.552640438079834,AUT
631,1951,2.5370359420776367,AUT
632,1952,2.52152681350708,AUT
633,1953,2.506112575531006,AUT
634,1954,2.4907925128936768,AUT
635,1955,2.4755661487579346,AUT
636,1956,2.4610722064971924,AUT
637,1957,2.4466633796691895,AUT
638,1958,2.4323387145996094,AUT
639,1959,2.418097972869873,AUT
640,1960,2.4039406776428223,AUT
641,1961,2.4269816875457764,AUT
642,1962,2.4502434730529785,AUT
643,1963,2.4737284183502197,AUT
644,1964,2.4974381923675537,AUT
645,1965,2.5213754177093506,AUT
646,1966,2.545542001724243,AUT
647,1967,2.5666821002960205,AUT
648,1968,2.583219289779663,AUT
649,1969,2.599862813949585,AUT
650,1970,2.6166138648986816,AUT
651,1971,2.633699417114258,AUT
652,1972,2.6508970260620117,AUT
653,1973,2.6682064533233643,AUT
654,1974,2.685628890991211,AUT
655,1975,2.703165292739868,AUT
656,1976,2.7208163738250732,AUT
657,1977,2.7385823726654053,AUT
658,1978,2.7564644813537598,AUT
659,1979,2.774463415145874,AUT
660,1980,2.7925798892974854,AUT
661,1981,2.8093748092651367,AUT
662,1982,2.8262710571289062,AUT
663,1983,2.843268871307373,AUT
664,1984,2.8603687286376953,AUT
665,1985,2.8775715827941895,AUT
666,1986,2.8948776721954346,AUT
667,1987,2.912288188934326,AUT
668,1988,2.9298031330108643,AUT
669,1989,2.9474236965179443,AUT
670,1990,2.9651498794555664,AUT
671,1991,2.9799985885620117,AUT
672,1992,2.994921922683716,AUT
673,1993,3.0099196434020996,AUT
674,1994,3.0249929428100586,AUT
675,1995,3.0401413440704346,AUT
676,1996,3.055365562438965,AUT
677,1997,3.0706663131713867,AUT
678,1998,3.086043357849121,AUT
679,1999,3.1014976501464844,AUT
680,2000,3.1170291900634766,AUT
681,2001,3.1332309246063232,AUT
682,2002,3.1495168209075928,AUT
683,2003,3.1658871173858643,AUT
684,2004,3.182343006134033,AUT
685,2005,3.1988840103149414,AUT
686,2006,3.215510845184326,AUT
687,2007,3.232224702835083,AUT
688,2008,3.2490248680114746,AUT
689,2009,3.2659127712249756,AUT
690,2010,3.282888174057007,AUT
691,2011,3.293652296066284,AUT
692,2012,3.3044519424438477,AUT
693,2013,3.315286874771118,AUT
694,2014,3.326157331466675,AUT
695,2015,3.3370633125305176,AUT
696,2016,3.3480052947998047,AUT
697,2017,3.358983039855957,AUT
698,2018,3.3699967861175537,AUT
699,2019,3.3810462951660156,AUT
700,1950,,AZE
701,1951,,AZE
702,1952,,AZE
703,1953,,AZE
704,1954,,AZE
705,1955,,AZE
706,1956,,AZE
707,1957,,AZE
708,1958,,AZE
709,1959,,AZE
710,1960,,AZE
711,1961,,AZE
712,1962,,AZE
713,1963,,AZE
714,1964,,AZE
715,1965,,AZE
716,1966,,AZE
717,1967,,AZE
718,1968,,AZE
719,1969,,AZE
720,1970,,AZE
721,1971,,AZE
722,1972,,AZE
723,1973,,AZE
724,1974,,AZE
725,1975,,AZE
726,1976,,AZE
727,1977,,AZE
728,1978,,AZE
729,1979,,AZE
730,1980,,AZE
731,1981,,AZE
732,1982,,AZE
733,1983,,AZE
734,1984,,AZE
735,1985,,AZE
736,1986,,AZE
737,1987,,AZE
738,1988,,AZE
739,1989,,AZE
740,1990,,AZE
741,1991,,AZE
742,1992,,AZE
743,1993,,AZE
744,1994,,AZE
745,1995,,AZE
746,1996,,AZE
747,1997,,AZE
748,1998,,AZE
749,1999,,AZE
750,2000,,AZE
751,2001,,AZE
752,2002,,AZE
753,2003,,AZE
754,2004,,AZE
755,2005,,AZE
756,2006,,AZE
757,2007,,AZE
758,2008,,AZE
759,2009,,AZE
760,2010,,AZE
761,2011,,AZE
762,2012,,AZE
763,2013,,AZE
764,2014,,AZE
765,2015,,AZE
766,2016,,AZE
767,2017,,AZE
768,2018,,AZE
769,2019,,AZE
770,1950,,BDI
771,1951,,BDI
772,1952,,BDI
773,1953,,BDI
774,1954,,BDI
775,1955,,BDI
776,1956,,BDI
777,1957,,BDI
778,1958,,BDI
779,1959,,BDI
780,1960,1.0954945087432861,BDI
781,1961,1.0954945087432861,BDI
782,1962,1.0954945087432861,BDI
783,1963,1.0954945087432861,BDI
784,1964,1.0954945087432861,BDI
785,1965,1.0954945087432861,BDI
786,1966,1.0954945087432861,BDI
787,1967,1.0954945087432861,BDI
788,1968,1.0954945087432861,BDI
789,1969,1.0954945087432861,BDI
790,1970,1.0954945087432861,BDI
791,1971,1.0956342220306396,BDI
792,1972,1.0957740545272827,BDI
793,1973,1.0959137678146362,BDI
794,1974,1.0960536003112793,BDI
795,1975,1.0961934328079224,BDI
796,1976,1.0963332653045654,BDI
797,1977,1.0964730978012085,BDI
798,1978,1.0966130495071411,BDI
799,1979,1.0967528820037842,BDI
800,1980,1.0968928337097168,BDI
801,1981,1.1005789041519165,BDI
802,1982,1.104277491569519,BDI
803,1983,1.1079884767532349,BDI
804,1984,1.1117119789123535,BDI
805,1985,1.115447998046875,BDI
806,1986,1.1191965341567993,BDI
807,1987,1.1229575872421265,BDI
808,1988,1.1267313957214355,BDI
809,1989,1.130517840385437,BDI
810,1990,1.1343170404434204,BDI
811,1991,1.1413264274597168,BDI
