,country,year,gdp_pc_lag1
541,AUT,1980,21436.0
542,AUT,1981,21932.0
543,AUT,1982,21866.0
544,AUT,1983,22254.0
545,AUT,1984,22944.0
546,AUT,1985,23016.0
547,AUT,1986,23514.0
548,AUT,1987,24039.0
549,AUT,1988,24409.0
550,AUT,1989,25112.0
551,AUT,1990,26078.0
552,AUT,1991,26930.0
553,AUT,1992,27689.771273580795
554,AUT,1993,28072.440346497853
555,AUT,1994,28101.228637165088
556,AUT,1995,28780.760389788396
557,AUT,1996,29621.68192417161
558,AUT,1997,30413.15669357546
559,AUT,1998,31173.048774493767
560,AUT,1999,32376.329513091037
561,AUT,2000,33608.29654662761
562,AUT,2001,34796.25948255403
563,AUT,2002,35272.223953775974
564,AUT,2003,35823.58737416037
565,AUT,2004,36063.12048965238
566,AUT,2005,36957.11224961447
567,AUT,2006,37642.76215001923
568,AUT,2007,38866.849338781125
569,AUT,2008,40305.27430677966
570,AUT,2009,40964.79335236901
571,AUT,2010,39463.65695690543
572,AUT,2011,40288.349293900224
573,AUT,2012,41446.0
574,AUT,2013,41540.94193797778
575,AUT,2014,41301.94214704149
576,AUT,2015,41250.50597395657
577,AUT,2016,41255.71666478465
578,AUT,2017,41545.49870225668
579,AUT,2018,42216.919697346675
580,AUT,2019,43032.21640387139
581,AUT,2020,43488.66812050347
582,AUT,2021,40503.0408055729
583,AUT,2022,42184.696121489615
604,AZE,1970,
605,AZE,1971,
606,AZE,1972,
607,AZE,1973,
608,AZE,1974,7068.0
609,AZE,1975,
610,AZE,1976,
611,AZE,1977,
612,AZE,1978,
613,AZE,1979,
614,AZE,1980,
615,AZE,1981,7165.0
616,AZE,1982,7490.0
617,AZE,1983,7831.0
618,AZE,1984,8010.0
619,AZE,1985,8360.0
620,AZE,1986,8558.0
621,AZE,1987,8663.0
622,AZE,1988,8995.0
623,AZE,1989,9328.0
624,AZE,1990,8421.0
625,AZE,1991,7394.0
626,AZE,1992,7319.136465234125
627,AZE,1993,5638.997906821178
628,AZE,1994,4315.356714259613
629,AZE,1995,3453.3638218242895
630,AZE,1996,2999.3190451259916
631,AZE,1997,3074.2197345703435
632,AZE,1998,3347.612645669422
633,AZE,1999,3550.36406585758
634,AZE,2000,3959.781476924773
635,AZE,2001,4214.888860748278
636,AZE,2002,4498.794376997406
637,AZE,2003,4880.399890089719
638,AZE,2004,5408.522989622949
639,AZE,2005,5971.474603100572
640,AZE,2006,7553.626395956173
641,AZE,2007,10160.346002499396
642,AZE,2008,12699.497776711472
643,AZE,2009,14072.62657724293
644,AZE,2010,15384.293038791626
645,AZE,2011,16153.836568386088
646,AZE,2012,16176.0
647,AZE,2013,16364.532216261734
648,AZE,2014,17146.22348332883
649,AZE,2015,17451.1004237186
650,AZE,2016,17463.75738662594
651,AZE,2017,16770.85049020451
652,AZE,2018,16647.016593173557
653,AZE,2019,16753.20969120899
654,AZE,2020,17029.906373504993
655,AZE,2021,16189.511046633794
656,AZE,2022,16971.724514572026
677,BHR,1970,5812.0
678,BHR,1971,6038.0
679,BHR,1972,6349.0
680,BHR,1973,6692.0
681,BHR,1974,6975.0
682,BHR,1975,7291.0
683,BHR,1976,6252.0
684,BHR,1977,6875.0
685,BHR,1978,7084.0
686,BHR,1979,7037.0
687,BHR,1980,6730.0
688,BHR,1981,6994.0
689,BHR,1982,6875.0
690,BHR,1983,7036.0
691,BHR,1984,7240.0
692,BHR,1985,7264.0
693,BHR,1986,6972.0
694,BHR,1987,6880.0
695,BHR,1988,6786.0
696,BHR,1989,6802.0
697,BHR,1990,6751.0
698,BHR,1991,6542.0
699,BHR,1992,7059.956872278351
700,BHR,1993,7993.892756332573
701,BHR,1994,9102.066123852352
702,BHR,1995,9935.003930290826
703,BHR,1996,10695.392433585435
704,BHR,1997,11640.821353114172
705,BHR,1998,12528.389518937362
706,BHR,1999,13776.008281637318
707,BHR,2000,15263.757491334563
708,BHR,2001,17021.722379400082
709,BHR,2002,18152.9626577984
710,BHR,2003,19487.841231923445
711,BHR,2004,21391.61192554835
712,BHR,2005,23389.602406732047
713,BHR,2006,25230.900052167748
714,BHR,2007,26840.12427010602
715,BHR,2008,28884.697367103305
716,BHR,2009,30612.497813355865
717,BHR,2010,31729.566318699268
718,BHR,2011,34057.71322744991
719,BHR,2012,36372.0
720,BHR,2013,36711.3916621356
721,BHR,2014,37704.2118257463
722,BHR,2015,38364.829470910976
723,BHR,2016,38369.65989222884
724,BHR,2017,38805.39065484862
725,BHR,2018,39553.23971113629
726,BHR,2019,39501.17592248429
727,BHR,2020,39499.70707668937
728,BHR,2021,36890.502952537754
729,BHR,2022,37323.10392430031
750,BGD,1970,980.0
751,BGD,1971,1004.0
752,BGD,1972,934.0
753,BGD,1973,807.0
754,BGD,1974,792.0
755,BGD,1975,872.0
756,BGD,1976,843.0
757,BGD,1977,862.0
758,BGD,1978,843.0
759,BGD,1979,878.0
760,BGD,1980,894.0
761,BGD,1981,875.0
762,BGD,1982,878.0
763,BGD,1983,869.0
764,BGD,1984,891.0
765,BGD,1985,918.0
766,BGD,1986,925.0
767,BGD,1987,944.0
768,BGD,1988,960.0
769,BGD,1989,964.0
770,BGD,1990,966.0
771,BGD,1991,1006.0
772,BGD,1992,1031.429949157621
773,BGD,1993,1062.4603996336396
774,BGD,1994,1095.65638403607
775,BGD,1995,1136.4184653484454
776,BGD,1996,1182.951400412447
777,BGD,1997,1234.0840637944411
778,BGD,1998,1291.512569507904
779,BGD,1999,1348.1499270396002
780,BGD,2000,1412.9813212476863
781,BGD,2001,1485.309220457969
782,BGD,2002,1551.196476715421
783,BGD,2003,1621.2669713879343
784,BGD,2004,1710.7313512497274
785,BGD,2005,1812.624661427313
786,BGD,2006,1925.606169622288
787,BGD,2007,2057.698392171004
788,BGD,2008,2194.4223378870124
789,BGD,2009,2321.050458754316
790,BGD,2010,2448.8868784386295
791,BGD,2011,2599.2083634666005
792,BGD,2012,2772.0
793,BGD,2013,2914.048779489979
794,BGD,2014,3057.4698265978836
795,BGD,2015,3216.8923341097284
796,BGD,2016,3402.3213512440807
797,BGD,2017,3598.510338838519
798,BGD,2018,3808.872854306307
