,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
19280,UKR,1965,..,,,..,,,,,,,,..,0.89,,,
19281,UKR,1966,..,,,..,,,,,,,,..,0.933,,,
19282,UKR,1967,..,,,..,,,,,,,,..,0.864,,,
19283,UKR,1968,..,,,..,,,,,,,,..,0.852,,,
19284,UKR,1969,..,,,..,,,,,,,,..,0.695,,,
19285,UKR,1970,..,,,..,,,47235.697,,,,,..,0.515,,,
19286,UKR,1971,..,,,28.8,,,47637.239,,,,,..,0.8,,,
19287,UKR,1972,..,,,28.1,,,48026.627,,,,,..,0.765,,,
19288,UKR,1973,..,,,27.4,,7849.0,48367.002,,,,,..,0.608,,,
19289,UKR,1974,..,7849.0,,26.8,,,48676.939,,,,,..,0.628,,,
19290,UKR,1975,..,,,26.3,,,48973.428,,,,,..,0.557,,,
19291,UKR,1976,..,,,25.9,,,49233.524,,,,,..,0.487,,,
19292,UKR,1977,..,,,25.5,,,49453.675,,,,,..,0.39,,,
19293,UKR,1978,..,,,25.2,,,49642.987,,,,,..,0.358,,,
19294,UKR,1979,..,,,24.8,,,49835.012,,,,,..,0.448,,,
19295,UKR,1980,..,,,24.3,,8467.0,50046.649,,,,,..,0.49,,,
19296,UKR,1981,..,8467.0,,23.7,,8695.0,50235.677,,,,,..,0.446,,,
19297,UKR,1982,..,8695.0,,23.1,,8934.0,50397.455,,,,,..,0.403,,,
19298,UKR,1983,..,8934.0,,22.3,,9288.0,50573.066,,,,,..,0.524,,,
19299,UKR,1984,..,9288.0,,21.5,,9476.0,50769.375,,,,,..,0.463,,,
19300,UKR,1985,..,9476.0,,20.8,,9387.0,50944.248,,,,,..,0.404,,,
19301,UKR,1986,..,9387.0,,20,,9408.0,51095.072,,,,,..,0.416,,,
19302,UKR,1987,..,9408.0,,19.4,,9648.0,51218.101,,,,,..,0.351,,,
19303,UKR,1988,..,9648.0,,18.9,,9704.0,51422.963,,,,,..,0.459,,,
19304,UKR,1989,17.3414173023013,9704.0,,18.5,,10082.0,51501.478,,,,,..,0.286,,,
19305,UKR,1990,16.5269461077844,10082.0,,18.3,,9607.0,51622.275,0.0,0.378,0.495,2.765498161315918,..,0.239,0.381,0.506,0.631
19306,UKR,1991,17.4247491638796,9607.0,,18.3,,8899.096690561873,51730.36,1.0,0.435,0.533,2.7998762130737305,..,0.21,0.426,0.506,0.661
19307,UKR,1992,17.5581164315518,8899.096690561873,,18.5,0.4185999631881714,8130.276785856602,51869.14,2.0,0.534,0.542,2.834681749343872,..,0.374,0.57,0.733,0.727
19308,UKR,1993,15.9833550275505,8130.276785856602,,18.8,0.4185999631881714,7090.257341436511,51887.21,2.0,0.537,0.601,2.869920015335083,..,-0.273,0.653,0.754,0.783
19309,UKR,1994,19.3616050920069,7090.257341436511,0.6622573137283325,19.1,0.4185999631881714,5585.413321986644,51637.84,2.0,0.549,0.578,2.9055960178375244,..,-0.778,0.672,0.73,0.883
19310,UKR,1995,21.2696475667331,5585.413321986644,0.5758064985275269,19.4,0.4185999631881714,5024.181735240126,51247.74,2.0,0.549,0.514,2.941715717315674,..,-0.805,0.773,0.814,0.92
19311,UKR,1996,21.7593449379899,5024.181735240126,0.5255362391471863,19.4,0.4185999631881714,4636.626309204157,50813.39,2.0,0.554,0.509,2.96716570854187,..,-0.904,0.8,0.829,0.92
19312,UKR,1997,27.3989189739196,4636.626309204157,0.5205845832824707,19.3,0.4185999631881714,4612.40421983972,50371.4,2.0,0.53,0.483,2.992835998535156,..,-0.818,0.8,0.829,0.92
19313,UKR,1998,24.6079158422115,4612.40421983972,0.5243542194366455,18.9,0.4185999631881714,4640.199197785761,49941.24,1.0,0.45,0.48,3.018728256225586,..,-0.792,0.875,0.829,0.92
