,year,Tax revenue (% of GDP),country
538,1962,..,IMN
539,1962,..,ISR
540,1962,..,ITA
541,1962,..,JAM
542,1962,..,JPN
543,1962,..,JOR
544,1962,..,KAZ
545,1962,..,KEN
546,1962,..,KIR
547,1962,..,PRK
548,1962,..,KOR
549,1962,..,XKX
550,1962,..,KWT
551,1962,..,KGZ
552,1962,..,LAO
553,1962,..,LVA
554,1962,..,LBN
555,1962,..,LSO
556,1962,..,LBR
557,1962,..,LBY
558,1962,..,LIE
559,1962,..,LTU
560,1962,..,LUX
561,1962,..,MAC
562,1962,..,MDG
563,1962,..,MWI
564,1962,..,MYS
565,1962,..,MDV
566,1962,..,MLI
567,1962,..,MLT
568,1962,..,MHL
569,1962,..,MRT
570,1962,..,MUS
571,1962,..,MEX
572,1962,..,FSM
573,1962,..,MDA
574,1962,..,MCO
575,1962,..,MNG
576,1962,..,MNE
577,1962,..,MAR
578,1962,..,MOZ
579,1962,..,MMR
580,1962,..,NAM
581,1962,..,NRU
582,1962,..,NPL
583,1962,..,NLD
584,1962,..,NCL
585,1962,..,NZL
586,1962,..,NIC
587,1962,..,NER
588,1962,..,NGA
589,1962,..,MKD
590,1962,..,MNP
591,1962,..,NOR
592,1962,..,OMN
593,1962,..,PAK
594,1962,..,PLW
595,1962,..,PAN
596,1962,..,PNG
597,1962,..,PRY
598,1962,..,PER
599,1962,..,PHL
600,1962,..,POL
601,1962,..,PRT
602,1962,..,PRI
603,1962,..,QAT
604,1962,..,ROU
605,1962,..,RUS
606,1962,..,RWA
607,1962,..,WSM
608,1962,..,SMR
609,1962,..,STP
610,1962,..,SAU
611,1962,..,SEN
612,1962,..,SRB
613,1962,..,SYC
614,1962,..,SLE
615,1962,..,SGP
616,1962,..,SXM
617,1962,..,SVK
618,1962,..,SVN
619,1962,..,SLB
620,1962,..,SOM
621,1962,..,ZAF
622,1962,..,SSD
623,1962,..,ESP
624,1962,..,LKA
625,1962,..,KNA
626,1962,..,LCA
627,1962,..,MAF
628,1962,..,VCT
629,1962,..,SDN
630,1962,..,SUR
631,1962,..,SWE
632,1962,..,CHE
633,1962,..,SYR
634,1962,..,TJK
635,1962,..,TZA
636,1962,..,THA
637,1962,..,TLS
638,1962,..,TGO
639,1962,..,TON
640,1962,..,TTO
641,1962,..,TUN
642,1962,..,TUR
643,1962,..,TKM
644,1962,..,TCA
645,1962,..,TUV
646,1962,..,UGA
647,1962,..,UKR
648,1962,..,ARE
649,1962,..,GBR
650,1962,..,USA
651,1962,..,URY
652,1962,..,UZB
653,1962,..,VUT
654,1962,..,VEN
655,1962,..,VNM
656,1962,..,VIR
657,1962,..,PSE
658,1962,..,YEM
659,1962,..,ZMB
660,1962,..,ZWE
664,1962,,Data from database: World Development Indicators
665,1962,,Last Updated: 10/07/2025
666,1963,..,AFG
667,1963,..,ALB
668,1963,..,DZA
669,1963,..,ASM
670,1963,..,AND
671,1963,..,AGO
672,1963,..,ATG
673,1963,..,ARG
674,1963,..,ARM
675,1963,..,ABW
676,1963,..,AUS
677,1963,..,AUT
678,1963,..,AZE
679,1963,..,BHS
680,1963,..,BHR
681,1963,..,BGD
682,1963,..,BRB
683,1963,..,BLR
684,1963,..,BEL
685,1963,..,BLZ
686,1963,..,BEN
687,1963,..,BMU
688,1963,..,BTN
689,1963,..,BOL
690,1963,..,BIH
691,1963,..,BWA
692,1963,..,BRA
693,1963,..,VGB
694,1963,..,BRN
695,1963,..,BGR
696,1963,..,BFA
697,1963,..,BDI
698,1963,..,CPV
699,1963,..,KHM
700,1963,..,CMR
701,1963,..,CAN
702,1963,..,CYM
703,1963,..,CAF
704,1963,..,TCD
705,1963,..,Channel Islands
706,1963,..,CHL
707,1963,..,CHN
708,1963,..,COL
709,1963,..,COM
710,1963,..,COD
711,1963,..,COG
712,1963,..,CRI
713,1963,..,CIV
714,1963,..,HRV
715,1963,..,CUB
716,1963,..,CUW
717,1963,..,CYP
718,1963,..,CZE
719,1963,..,DNK
720,1963,..,DJI
721,1963,..,DMA
722,1963,..,DOM
723,1963,..,ECU
724,1963,..,EGY
725,1963,..,SLV
726,1963,..,GNQ
727,1963,..,ERI
728,1963,..,EST
729,1963,..,SWZ
730,1963,..,ETH
731,1963,..,FRO
732,1963,..,FJI
733,1963,..,FIN
734,1963,..,FRA
735,1963,..,PYF
736,1963,..,GAB
737,1963,..,GMB
738,1963,..,GEO
739,1963,..,DEU
740,1963,..,GHA
741,1963,..,GIB
742,1963,..,GRC
743,1963,..,GRL
744,1963,..,GRD
745,1963,..,GUM
746,1963,..,GTM
747,1963,..,GIN
748,1963,..,GNB
749,1963,..,GUY
750,1963,..,HTI
751,1963,..,HND
752,1963,..,HKG
753,1963,..,HUN
754,1963,..,ISL
755,1963,..,IND
756,1963,..,IDN
757,1963,..,IRN
758,1963,..,IRQ
759,1963,..,IRL
760,1963,..,IMN
761,1963,..,ISR
762,1963,..,ITA
763,1963,..,JAM
764,1963,..,JPN
765,1963,..,JOR
766,1963,..,KAZ
767,1963,..,KEN
768,1963,..,KIR
769,1963,..,PRK
770,1963,..,KOR
771,1963,..,XKX
772,1963,..,KWT
773,1963,..,KGZ
774,1963,..,LAO
775,1963,..,LVA
776,1963,..,LBN
777,1963,..,LSO
778,1963,..,LBR
779,1963,..,LBY
780,1963,..,LIE
781,1963,..,LTU
782,1963,..,LUX
783,1963,..,MAC
784,1963,..,MDG
785,1963,..,MWI
786,1963,..,MYS
787,1963,..,MDV
788,1963,..,MLI
789,1963,..,MLT
790,1963,..,MHL
791,1963,..,MRT
792,1963,..,MUS
793,1963,..,MEX
794,1963,..,FSM
795,1963,..,MDA
796,1963,..,MCO
797,1963,..,MNG
798,1963,..,MNE
799,1963,..,MAR
800,1963,..,MOZ
801,1963,..,MMR
802,1963,..,NAM
803,1963,..,NRU
804,1963,..,NPL
805,1963,..,NLD
806,1963,..,NCL
807,1963,..,NZL
808,1963,..,NIC
809,1963,..,NER
810,1963,..,NGA
811,1963,..,MKD
812,1963,..,MNP
813,1963,..,NOR
814,1963,..,OMN
815,1963,..,PAK
816,1963,..,PLW
817,1963,..,PAN
818,1963,..,PNG
819,1963,..,PRY
820,1963,..,PER
821,1963,..,PHL
822,1963,..,POL
823,1963,..,PRT
824,1963,..,PRI
825,1963,..,QAT
826,1963,..,ROU
827,1963,..,RUS
828,1963,..,RWA
829,1963,..,WSM
830,1963,..,SMR
831,1963,..,STP
832,1963,..,SAU
833,1963,..,SEN
834,1963,..,SRB
835,1963,..,SYC
836,1963,..,SLE
837,1963,..,SGP
838,1963,..,SXM
839,1963,..,SVK
840,1963,..,SVN
841,1963,..,SLB
842,1963,..,SOM
843,1963,..,ZAF
844,1963,..,SSD
845,1963,..,ESP
846,1963,..,LKA
847,1963,..,KNA
848,1963,..,LCA
849,1963,..,MAF
850,1963,..,VCT
851,1963,..,SDN
852,1963,..,SUR
853,1963,..,SWE
854,1963,..,CHE
855,1963,..,SYR
856,1963,..,TJK
857,1963,..,TZA
858,1963,..,THA
859,1963,..,TLS
860,1963,..,TGO
861,1963,..,TON
862,1963,..,TTO
863,1963,..,TUN
