,year,"Exports of goods, Free on board (FOB), US dollar","Imports of goods, Cost insurance freight (CIF), US dollar",export_share,country
61,2009,7933145.195433,8467991.96385,0.483694826668946,Advanced Economies
62,2010,9378114.637549,10019631.158915,0.4834641476360892,Advanced Economies
63,2011,10893383.679904,11680665.287558,0.48256224196224656,Advanced Economies
64,2012,10730759.909381,11569597.201636,0.48119229014856024,Advanced Economies
65,2013,10975365.253792,11552196.846542,0.4871972033595804,Advanced Economies
66,2014,11042865.342356,11678200.638563,0.4860188052633501,Advanced Economies
67,2015,9855267.18195,10346583.482583,0.4878398195098143,Advanced Economies
68,2016,9789654.564746,10259578.880211,0.4882807410878045,Advanced Economies
69,2017,10697450.344253,11210854.381763,0.48828288989197016,Advanced Economies
70,2018,11593045.592703,12295150.224756,0.48530436041679087,Advanced Economies
71,2019,11245724.090775,11931792.733033,0.48519969487082265,Advanced Economies
72,2020,10305219.436132,10917380.036223,0.48557762443548885,Advanced Economies
73,2021,12745135.769054,13629527.956287,0.4832340575704996,Advanced Economies
74,2022,13934498.166564,15569107.312419,0.4722981459500023,Advanced Economies
75,1958,46.4,72.8,0.389261744966443,AFG
76,1959,60.3,80.9,0.42705382436260625,AFG
77,1960,49.9,,,AFG
78,1961,53.4,,,AFG
79,1962,58.9,,,AFG
80,1963,70.1,,,AFG
81,1964,69.6,140.4,0.3314285714285714,AFG
82,1965,69.5,129.3,0.34959758551307846,AFG
83,1966,71.6,,,AFG
84,1967,66.407,138.364,0.324298850911506,AFG
85,1968,71.817,124.434,0.36594463212926304,AFG
86,1969,81.884,123.524,0.39864075401152826,AFG
87,1970,84.591,109.525,0.43577551567104206,AFG
88,1971,99.9,145.386,0.4072796653702209,AFG
89,1972,124.419,,,AFG
90,1973,159.016,129.79,0.5505979792663588,AFG
91,1974,230.55,242.531,0.48733726359756574,AFG
92,1975,224.861,338.402,0.39921138082920415,AFG
93,1976,297.146,314.12,0.48611570085691,AFG
94,1977,313.137,458.652,0.40572876783680517,AFG
95,1978,269.156,450.516,0.3739981547149257,AFG
96,1979,435.015,551.216,0.4410883454282009,AFG
97,1980,670.474,494.754,0.5754015523142252,AFG
98,1981,638.117,541.516,0.5409453618201594,AFG
99,1982,200.898367850328,321.964390847052,0.38422772421357887,AFG
100,1983,195.405822592023,372.558763206536,0.344045786441565,AFG
101,1984,175.982593044291,392.126599147887,0.3097689589658324,AFG
