,year,Population growth rate - Sex: all - Age: all - Variant: estimates,country
5620,2020,0.269,FRA
5621,2021,0.272,FRA
5622,2022,0.314,FRA
5624,1950,1.265,GUF
5625,1951,1.291,GUF
5626,1952,1.291,GUF
5627,1953,1.43,GUF
5628,1954,1.755,GUF
5629,1955,3.892,GUF
5630,1956,3.988,GUF
5631,1957,4.024,GUF
5632,1958,4.039,GUF
5633,1959,4.01,GUF
5634,1960,4.077,GUF
5635,1961,4.059,GUF
5636,1962,4.424,GUF
5637,1963,4.466,GUF
5638,1964,4.58,GUF
5639,1965,4.587,GUF
5640,1966,4.495,GUF
5641,1967,4.028,GUF
5642,1968,2.724,GUF
5643,1969,2.894,GUF
5644,1970,3.03,GUF
5645,1971,3.098,GUF
5646,1972,3.093,GUF
5647,1973,2.967,GUF
5648,1974,3.53,GUF
5649,1975,4.143,GUF
5650,1976,4.02,GUF
5651,1977,3.954,GUF
5652,1978,3.903,GUF
5653,1979,3.876,GUF
5654,1980,3.839,GUF
5655,1981,3.831,GUF
5656,1982,5.561,GUF
5657,1983,5.976,GUF
5658,1984,5.873,GUF
5659,1985,5.754,GUF
5660,1986,5.659,GUF
5661,1987,5.55,GUF
5662,1988,5.466,GUF
5663,1989,5.419,GUF
5664,1990,3.917,GUF
5665,1991,3.572,GUF
5666,1992,3.594,GUF
5667,1993,3.533,GUF
5668,1994,3.463,GUF
5669,1995,3.361,GUF
5670,1996,3.268,GUF
5671,1997,3.173,GUF
5672,1998,3.194,GUF
5673,1999,3.899,GUF
5674,2000,4.839,GUF
5675,2001,4.776,GUF
5676,2002,4.704,GUF
5677,2003,4.568,GUF
5678,2004,4.473,GUF
5679,2005,4.415,GUF
5680,2006,3.846,GUF
5681,2007,3.727,GUF
5682,2008,2.57,GUF
5683,2009,1.476,GUF
5684,2010,1.84,GUF
5685,2011,2.336,GUF
5686,2012,2.812,GUF
5687,2013,3.17,GUF
5688,2014,2.53,GUF
5689,2015,1.89,GUF
5690,2016,1.76,GUF
5691,2017,1.805,GUF
5692,2018,1.655,GUF
5693,2019,1.598,GUF
5694,2020,0.835,GUF
5695,2021,1.879,GUF
5696,2022,1.701,GUF
5698,1950,2.333,PYF
5699,1951,2.466,PYF
5700,1952,2.646,PYF
5701,1953,2.821,PYF
5702,1954,3.047,PYF
5703,1955,3.254,PYF
5704,1956,3.343,PYF
5705,1957,2.143,PYF
5706,1958,2.166,PYF
5707,1959,2.152,PYF
5708,1960,2.13,PYF
5709,1961,2.043,PYF
5710,1962,2.188,PYF
5711,1963,3.389,PYF
5712,1964,3.376,PYF
5713,1965,3.39,PYF
5714,1966,3.372,PYF
5715,1967,3.427,PYF
5716,1968,3.458,PYF
5717,1969,3.486,PYF
5718,1970,3.475,PYF
5719,1971,3.315,PYF
5720,1972,3.26,PYF
5721,1973,3.216,PYF
5722,1974,3.138,PYF
5723,1975,3.053,PYF
5724,1976,2.93,PYF
5725,1977,3.057,PYF
5726,1978,3.179,PYF
5727,1979,3.186,PYF
5728,1980,3.18,PYF
5729,1981,3.154,PYF
5730,1982,3.113,PYF
5731,1983,2.922,PYF
5732,1984,2.505,PYF
5733,1985,2.552,PYF
5734,1986,2.555,PYF
5735,1987,2.529,PYF
5736,1988,2.394,PYF
5737,1989,2.117,PYF
5738,1990,1.983,PYF
5739,1991,1.874,PYF
5740,1992,1.766,PYF
5741,1993,1.665,PYF
5742,1994,1.58,PYF
5743,1995,1.488,PYF
5744,1996,1.525,PYF
5745,1997,1.669,PYF
5746,1998,1.595,PYF
5747,1999,1.561,PYF
5748,2000,1.577,PYF
5749,2001,1.529,PYF
5750,2002,1.463,PYF
5751,2003,1.629,PYF
5752,2004,1.54,PYF
5753,2005,1.452,PYF
5754,2006,1.392,PYF
5755,2007,1.038,PYF
5756,2008,0.416,PYF
5757,2009,0.404,PYF
5758,2010,0.409,PYF
5759,2011,0.436,PYF
5760,2012,0.559,PYF
5761,2013,0.641,PYF
5762,2014,0.564,PYF
5763,2015,0.503,PYF
5764,2016,0.439,PYF
5765,2017,0.212,PYF
5766,2018,-0.406,PYF
5767,2019,-0.154,PYF
5768,2020,0.279,PYF
5769,2021,0.138,PYF
5770,2022,0.28,PYF
5772,1950,0.578,GAB
5773,1951,0.601,GAB
5774,1952,0.636,GAB
5775,1953,0.681,GAB
5776,1954,0.725,GAB
5777,1955,0.781,GAB
5778,1956,0.836,GAB
5779,1957,0.895,GAB
5780,1958,0.97,GAB
5781,1959,1.043,GAB
5782,1960,1.12,GAB
5783,1961,1.189,GAB
5784,1962,1.258,GAB
5785,1963,1.318,GAB
5786,1964,1.375,GAB
5787,1965,1.446,GAB
5788,1966,1.517,GAB
5789,1967,1.577,GAB
5790,1968,1.646,GAB
5791,1969,2.164,GAB
5792,1970,2.101,GAB
5793,1971,2.053,GAB
5794,1972,2.051,GAB
5795,1973,2.103,GAB
5796,1974,2.17,GAB
5797,1975,2.259,GAB
5798,1976,2.347,GAB
5799,1977,2.422,GAB
5800,1978,2.491,GAB
5801,1979,2.543,GAB
5802,1980,2.604,GAB
5803,1981,2.669,GAB
5804,1982,2.698,GAB
5805,1983,2.731,GAB
5806,1984,2.741,GAB
5807,1985,2.756,GAB
5808,1986,2.765,GAB
5809,1987,2.783,GAB
5810,1988,2.781,GAB
5811,1989,2.753,GAB
5812,1990,2.729,GAB
5813,1991,2.703,GAB
5814,1992,2.678,GAB
5815,1993,2.649,GAB
5816,1994,2.593,GAB
5817,1995,2.546,GAB
5818,1996,2.518,GAB
5819,1997,2.526,GAB
5820,1998,2.538,GAB
5821,1999,2.559,GAB
5822,2000,2.611,GAB
5823,2001,2.652,GAB
5824,2002,2.703,GAB
5825,2003,2.754,GAB
5826,2004,2.845,GAB
5827,2005,2.961,GAB
5828,2006,3.074,GAB
5829,2007,3.177,GAB
5830,2008,3.263,GAB
5831,2009,3.39,GAB
5832,2010,3.507,GAB
5833,2011,3.586,GAB
5834,2012,3.569,GAB
5835,2013,3.472,GAB
5836,2014,3.248,GAB
5837,2015,2.985,GAB
5838,2016,2.748,GAB
5839,2017,2.572,GAB
5840,2018,2.503,GAB
5841,2019,2.444,GAB
5842,2020,2.336,GAB
5843,2021,2.277,GAB
5844,2022,2.219,GAB
5846,1950,2.454,GMB
5847,1951,2.539,GMB
5848,1952,2.575,GMB
5849,1953,2.596,GMB
5850,1954,2.605,GMB
5851,1955,2.609,GMB
5852,1956,2.62,GMB
5853,1957,2.626,GMB
5854,1958,2.652,GMB
5855,1959,2.667,GMB
5856,1960,2.687,GMB
5857,1961,2.701,GMB
5858,1962,2.718,GMB
5859,1963,2.726,GMB
5860,1964,2.726,GMB
5861,1965,2.728,GMB
5862,1966,2.709,GMB
5863,1967,2.793,GMB
5864,1968,2.809,GMB
5865,1969,2.833,GMB
5866,1970,2.842,GMB
5867,1971,2.905,GMB
5868,1972,2.934,GMB
5869,1973,2.963,GMB
5870,1974,2.926,GMB
5871,1975,3.005,GMB
5872,1976,3.11,GMB
5873,1977,3.213,GMB
5874,1978,3.286,GMB
5875,1979,3.398,GMB
5876,1980,3.478,GMB
5877,1981,3.463,GMB
5878,1982,3.612,GMB
5879,1983,3.762,GMB
5880,1984,3.916,GMB
5881,1985,3.978,GMB
5882,1986,4.042,GMB
5883,1987,4.083,GMB
5884,1988,4.137,GMB
5885,1989,4.18,GMB
5886,1990,4.211,GMB
5887,1991,4.193,GMB
5888,1992,3.94,GMB
5889,1993,3.403,GMB
5890,1994,3.039,GMB
5891,1995,2.918,GMB
5892,1996,2.867,GMB
5893,1997,2.812,GMB
5894,1998,2.8,GMB
5895,1999,2.757,GMB
5896,2000,2.72,GMB
5897,2001,2.694,GMB
5898,2002,2.675,GMB
5899,2003,2.711,GMB
5900,2004,2.754,GMB
5901,2005,2.808,GMB
5902,2006,2.896,GMB
5903,2007,2.907,GMB
5904,2008,2.906,GMB
5905,2009,2.902,GMB
5906,2010,2.912,GMB
5907,2011,2.934,GMB
5908,2012,2.957,GMB
5909,2013,2.901,GMB
5910,2014,2.79,GMB
5911,2015,2.68,GMB
5912,2016,2.578,GMB
5913,2017,2.476,GMB
5914,2018,2.372,GMB
5915,2019,2.341,GMB
5916,2020,2.396,GMB
5917,2021,2.341,GMB
5918,2022,2.3,GMB
5920,1950,1.22,GEO
5921,1951,1.268,GEO
5922,1952,1.288,GEO
5923,1953,1.326,GEO
5924,1954,1.339,GEO
5925,1955,1.428,GEO
5926,1956,1.525,GEO
5927,1957,1.614,GEO
5928,1958,1.689,GEO
5929,1959,1.759,GEO
5930,1960,1.829,GEO
5931,1961,1.848,GEO
5932,1962,1.832,GEO
5933,1963,1.801,GEO
5934,1964,1.696,GEO
5935,1965,1.537,GEO
5936,1966,1.761,GEO
5937,1967,1.758,GEO
5938,1968,1.73,GEO
5939,1969,1.649,GEO
5940,1970,0.913,GEO
5941,1971,0.709,GEO
5942,1972,0.696,GEO
5943,1973,0.683,GEO
5944,1974,0.682,GEO
5945,1975,0.719,GEO
5946,1976,0.742,GEO
5947,1977,0.753,GEO
5948,1978,0.755,GEO
5949,1979,0.689,GEO
5950,1980,0.744,GEO
5951,1981,0.779,GEO
5952,1982,0.807,GEO
5953,1983,0.852,GEO
5954,1984,0.808,GEO
5955,1985,0.785,GEO
5956,1986,0.78,GEO
5957,1987,0.76,GEO
5958,1988,0.672,GEO
5959,1989,-0.694,GEO
5960,1990,-1.163,GEO
5961,1991,-1.4,GEO
5962,1992,-1.8,GEO
5963,1993,-2.617,GEO
5964,1994,-2.567,GEO
5965,1995,-2.264,GEO
5966,1996,-2.377,GEO
5967,1997,-2.565,GEO
5968,1998,-2.565,GEO
5969,1999,-2.791,GEO
5970,2000,-3.006,GEO
5971,2001,-2.55,GEO
5972,2002,-1.362,GEO
5973,2003,-0.698,GEO
5974,2004,-0.747,GEO
5975,2005,-0.734,GEO
5976,2006,-0.738,GEO
5977,2007,-0.718,GEO
5978,2008,-0.616,GEO
5979,2009,-0.516,GEO
5980,2010,-0.663,GEO
5981,2011,-0.739,GEO
5982,2012,-0.793,GEO
5983,2013,-0.78,GEO
5984,2014,-0.071,GEO
5985,2015,0.0,GEO
5986,2016,0.025,GEO
5987,2017,0.017,GEO
5988,2018,0.089,GEO
5989,2019,0.008,GEO
5990,2020,-0.063,GEO
5991,2021,-0.318,GEO
5992,2022,0.652,GEO
5994,1950,-0.2,DEU
5995,1951,0.012,DEU
5996,1952,0.117,DEU
5997,1953,0.192,DEU
5998,1954,0.292,DEU
5999,1955,0.362,DEU
6000,1956,0.432,DEU
6001,1957,0.905,DEU
6002,1958,0.794,DEU
6003,1959,0.726,DEU
6004,1960,0.845,DEU
6005,1961,0.7,DEU
6006,1962,0.984,DEU
6007,1963,0.902,DEU
6008,1964,0.74,DEU
6009,1965,0.987,DEU
6010,1966,0.702,DEU
6011,1967,0.236,DEU
6012,1968,0.672,DEU
6013,1969,0.931,DEU
6014,1970,-0.26,DEU
6015,1971,0.619,DEU
6016,1972,0.334,DEU
6017,1973,0.293,DEU
6018,1974,-0.218,DEU
6019,1975,-0.531,DEU
6020,1976,-0.328,DEU
6021,1977,-0.129,DEU
6022,1978,-0.05,DEU
6023,1979,0.134,DEU
6024,1980,0.294,DEU
6025,1981,0.044,DEU
6026,1982,-0.183,DEU
6027,1983,-0.25,DEU
6028,1984,-0.329,DEU
6029,1985,-0.017,DEU
6030,1986,0.172,DEU
6031,1987,0.183,DEU
6032,1988,0.643,DEU
6033,1989,0.934,DEU
6034,1990,0.833,DEU
6035,1991,0.656,DEU
6036,1992,0.91,DEU
6037,1993,0.45,DEU
6038,1994,0.253,DEU
6039,1995,0.348,DEU
6040,1996,0.244,DEU
6041,1997,0.063,DEU
6042,1998,-0.985,DEU
6043,1999,0.172,DEU
6044,2000,0.12,DEU
6045,2001,0.214,DEU
6046,2002,0.114,DEU
6047,2003,-0.008,DEU
6048,2004,-0.038,DEU
6049,2005,-0.074,DEU
6050,2006,-0.769,DEU
6051,2007,-0.219,DEU
6052,2008,-0.243,DEU
6053,2009,-0.19,DEU
6054,2010,-0.068,DEU
6055,2011,0.135,DEU
6056,2012,0.01,DEU
6057,2013,0.299,DEU
6058,2014,0.524,DEU
6059,2015,1.189,DEU
6060,2016,0.47,DEU
6061,2017,0.36,DEU
6062,2018,0.276,DEU
6063,2019,0.181,DEU
6064,2020,-0.015,DEU
6065,2021,0.178,DEU
6066,2022,0.748,DEU
6068,1950,2.815,GHA
6069,1951,2.943,GHA
6070,1952,3.023,GHA
6071,1953,3.063,GHA
6072,1954,3.156,GHA
6073,1955,3.215,GHA
6074,1956,3.261,GHA
6075,1957,3.273,GHA
6076,1958,3.202,GHA
6077,1959,3.297,GHA
6078,1960,3.294,GHA
6079,1961,2.424,GHA
6080,1962,2.396,GHA
6081,1963,2.38,GHA
6082,1964,2.381,GHA
6083,1965,2.417,GHA
6084,1966,2.394,GHA
6085,1967,2.436,GHA
6086,1968,2.432,GHA
6087,1969,2.568,GHA
6088,1970,2.775,GHA
6089,1971,2.76,GHA
6090,1972,2.868,GHA
6091,1973,2.905,GHA
6092,1974,2.896,GHA
6093,1975,2.895,GHA
6094,1976,2.862,GHA
6095,1977,3.031,GHA
6096,1978,3.045,GHA
6097,1979,3.062,GHA
6098,1980,2.791,GHA
6099,1981,2.828,GHA
6100,1982,2.981,GHA
6101,1983,3.033,GHA
6102,1984,2.142,GHA
6103,1985,2.159,GHA
6104,1986,2.242,GHA
6105,1987,2.342,GHA
6106,1988,2.461,GHA
6107,1989,2.534,GHA
6108,1990,2.569,GHA
6109,1991,2.472,GHA
6110,1992,2.499,GHA
6111,1993,2.441,GHA
6112,1994,2.368,GHA
6113,1995,2.352,GHA
6114,1996,2.32,GHA
6115,1997,2.437,GHA
6116,1998,2.428,GHA
6117,1999,2.454,GHA
6118,2000,2.569,GHA
6119,2001,2.754,GHA
6120,2002,2.746,GHA
6121,2003,2.655,GHA
6122,2004,2.642,GHA
6123,2005,2.604,GHA
6124,2006,2.596,GHA
6125,2007,2.56,GHA
6126,2008,2.516,GHA
6127,2009,2.475,GHA
6128,2010,2.392,GHA
6129,2011,2.417,GHA
6130,2012,2.422,GHA
6131,2013,2.396,GHA
6132,2014,2.334,GHA
6133,2015,2.281,GHA
6134,2016,2.272,GHA
6135,2017,2.12,GHA
6136,2018,2.031,GHA
6137,2019,1.985,GHA
6138,2020,1.998,GHA
6139,2021,1.921,GHA
6140,2022,1.92,GHA
6142,1950,-1.201,GIB
6143,1951,-0.596,GIB
6144,1952,0.671,GIB
6145,1953,0.477,GIB
6146,1954,0.502,GIB
6147,1955,0.285,GIB
6148,1956,0.275,GIB
6149,1957,0.055,GIB
6150,1958,-0.023,GIB
6151,1959,-0.133,GIB
6152,1960,-0.137,GIB
6153,1961,0.434,GIB
6154,1962,2.505,GIB
6155,1963,2.448,GIB
6156,1964,2.428,GIB
6157,1965,2.345,GIB
6158,1966,2.336,GIB
6159,1967,2.283,GIB
6160,1968,2.17,GIB
6161,1969,2.033,GIB
6162,1970,1.862,GIB
6163,1971,1.025,GIB
6164,1972,0.956,GIB
6165,1973,0.846,GIB
6166,1974,0.731,GIB
6167,1975,0.68,GIB
6168,1976,0.629,GIB
6169,1977,0.544,GIB
6170,1978,0.485,GIB
6171,1979,0.416,GIB
6172,1980,0.289,GIB
6173,1981,0.16,GIB
6174,1982,0.014,GIB
6175,1983,-0.237,GIB
6176,1984,-0.391,GIB
6177,1985,-0.526,GIB
6178,1986,-0.766,GIB
6179,1987,-0.883,GIB
6180,1988,-0.956,GIB
6181,1989,-1.18,GIB
6182,1990,-1.331,GIB
6183,1991,-0.9,GIB
6184,1992,0.755,GIB
6185,1993,0.661,GIB
6186,1994,0.587,GIB
6187,1995,0.424,GIB
6188,1996,0.378,GIB
6189,1997,0.312,GIB
6190,1998,0.181,GIB
6191,1999,0.123,GIB
6192,2000,0.0,GIB
6193,2001,-0.376,GIB
6194,2002,1.624,GIB
6195,2003,1.535,GIB
6196,2004,1.56,GIB
6197,2005,1.54,GIB
6198,2006,1.392,GIB
6199,2007,1.376,GIB
6200,2008,1.312,GIB
6201,2009,1.369,GIB
6202,2010,1.37,GIB
6203,2011,1.251,GIB
6204,2012,1.068,GIB
6205,2013,1.281,GIB
6206,2014,1.207,GIB
6207,2015,1.094,GIB
6208,2016,1.691,GIB
6209,2017,1.761,GIB
6210,2018,1.767,GIB
6211,2019,1.871,GIB
6212,2020,1.919,GIB
6213,2021,1.837,GIB
6214,2022,2.194,GIB
6216,1950,0.806,GRC
6217,1951,0.803,GRC
6218,1952,0.815,GRC
6219,1953,0.868,GRC
6220,1954,0.899,GRC
6221,1955,0.959,GRC
6222,1956,0.943,GRC
6223,1957,0.934,GRC
6224,1958,0.975,GRC
6225,1959,1.029,GRC
6226,1960,1.052,GRC
6227,1961,0.436,GRC
6228,1962,0.188,GRC
6229,1963,0.166,GRC
6230,1964,0.202,GRC
6231,1965,0.206,GRC
6232,1966,1.162,GRC
6233,1967,0.585,GRC
6234,1968,0.859,GRC
6235,1969,-0.19,GRC
6236,1970,0.206,GRC
6237,1971,0.689,GRC
6238,1972,0.725,GRC
6239,1973,0.268,GRC
6240,1974,0.533,GRC
6241,1975,1.421,GRC
6242,1976,1.729,GRC
6243,1977,0.919,GRC
6244,1978,1.391,GRC
6245,1979,1.485,GRC
6246,1980,1.174,GRC
6247,1981,0.909,GRC
6248,1982,0.788,GRC
6249,1983,0.712,GRC
6250,1984,0.642,GRC
6251,1985,0.523,GRC
6252,1986,0.505,GRC
6253,1987,0.4,GRC
6254,1988,0.436,GRC
6255,1989,0.369,GRC
6256,1990,0.421,GRC
6257,1991,0.515,GRC
6258,1992,0.515,GRC
6259,1993,0.502,GRC
6260,1994,0.523,GRC
6261,1995,0.487,GRC
6262,1996,0.477,GRC
6263,1997,0.509,GRC
6264,1998,0.488,GRC
6265,1999,0.494,GRC
6266,2000,0.523,GRC
6267,2001,0.596,GRC
6268,2002,0.272,GRC
6269,2003,0.245,GRC
6270,2004,0.283,GRC
6271,2005,0.336,GRC
6272,2006,0.296,GRC
6273,2007,0.241,GRC
6274,2008,0.322,GRC
6275,2009,0.241,GRC
6276,2010,0.058,GRC
6277,2011,-0.343,GRC
6278,2012,-0.751,GRC
6279,2013,-0.716,GRC
6280,2014,-0.645,GRC
6281,2015,-0.687,GRC
6282,2016,-0.153,GRC
6283,2017,-0.255,GRC
6284,2018,-0.167,GRC
6285,2019,-0.061,GRC
6286,2020,-0.297,GRC
6287,2021,-1.964,GRC
6288,2022,-1.214,GRC
6290,1950,2.159,GRL
6291,1951,1.737,GRL
6292,1952,2.515,GRL
6293,1953,2.661,GRL
6294,1954,2.82,GRL
6295,1955,3.073,GRL
6296,1956,3.805,GRL
6297,1957,3.992,GRL
6298,1958,4.175,GRL
6299,1959,4.378,GRL
6300,1960,4.389,GRL
6301,1961,3.639,GRL
6302,1962,3.58,GRL
6303,1963,3.56,GRL
6304,1964,3.583,GRL
6305,1965,3.53,GRL
6306,1966,3.653,GRL
6307,1967,3.385,GRL
6308,1968,3.191,GRL
6309,1969,3.054,GRL
6310,1970,2.877,GRL
6311,1971,1.639,GRL
6312,1972,1.596,GRL
6313,1973,1.426,GRL
6314,1974,1.246,GRL
6315,1975,1.003,GRL
6316,1976,0.698,GRL
6317,1977,-0.036,GRL
6318,1978,0.018,GRL
6319,1979,0.106,GRL
6320,1980,1.207,GRL
6321,1981,1.205,GRL
6322,1982,1.227,GRL
6323,1983,1.205,GRL
6324,1984,1.26,GRL
6325,1985,1.007,GRL
6326,1986,0.969,GRL
6327,1987,0.979,GRL
6328,1988,0.98,GRL
6329,1989,0.902,GRL
6330,1990,0.228,GRL
6331,1991,0.095,GRL
6332,1992,0.022,GRL
6333,1993,-0.002,GRL
6334,1994,-0.029,GRL
6335,1995,0.349,GRL
6336,1996,0.221,GRL
6337,1997,0.137,GRL
6338,1998,0.041,GRL
6339,1999,-0.112,GRL
6340,2000,0.393,GRL
6341,2001,0.326,GRL
6342,2002,0.315,GRL
6343,2003,0.284,GRL
6344,2004,0.227,GRL
6345,2005,-0.076,GRL
6346,2006,-0.16,GRL
6347,2007,-0.194,GRL
6348,2008,-0.233,GRL
6349,2009,-0.26,GRL
6350,2010,0.588,GRL
6351,2011,0.188,GRL
6352,2012,-0.387,GRL
6353,2013,-0.549,GRL
6354,2014,-0.659,GRL
6355,2015,0.118,GRL
6356,2016,0.025,GRL
6357,2017,0.011,GRL
6358,2018,-0.002,GRL
6359,2019,0.039,GRL
6360,2020,-0.055,GRL
6361,2021,-0.08,GRL
6362,2022,-0.102,GRL
6364,1950,0.629,GRD
6365,1951,1.102,GRD
6366,1952,1.447,GRD
6367,1953,1.774,GRD
6368,1954,2.074,GRD
6369,1955,2.418,GRD
6370,1956,2.699,GRD
6371,1957,2.689,GRD
6372,1958,2.396,GRD
6373,1959,2.002,GRD
6374,1960,1.509,GRD
6375,1961,1.193,GRD
6376,1962,0.977,GRD
6377,1963,0.718,GRD
6378,1964,0.442,GRD
6379,1965,0.185,GRD
6380,1966,-0.072,GRD
6381,1967,-0.041,GRD
6382,1968,0.064,GRD
6383,1969,0.194,GRD
6384,1970,0.232,GRD
6385,1971,0.243,GRD
6386,1972,0.018,GRD
6387,1973,-0.157,GRD
6388,1974,-0.295,GRD
6389,1975,-0.436,GRD
6390,1976,-0.575,GRD
6391,1977,-0.688,GRD
6392,1978,-0.788,GRD
6393,1979,-0.911,GRD
6394,1980,-1.094,GRD
6395,1981,0.066,GRD
6396,1982,0.637,GRD
6397,1983,0.556,GRD
6398,1984,0.599,GRD
6399,1985,0.68,GRD
6400,1986,0.728,GRD
6401,1987,0.785,GRD
6402,1988,0.813,GRD
6403,1989,0.832,GRD
6404,1990,0.848,GRD
6405,1991,0.818,GRD
6406,1992,0.781,GRD
6407,1993,0.75,GRD
6408,1994,0.72,GRD
6409,1995,0.693,GRD
6410,1996,0.679,GRD
6411,1997,0.673,GRD
6412,1998,0.681,GRD
6413,1999,0.669,GRD
6414,2000,0.683,GRD
6415,2001,0.313,GRD
6416,2002,0.458,GRD
6417,2003,0.424,GRD
6418,2004,0.38,GRD
6419,2005,0.373,GRD
6420,2006,0.355,GRD
6421,2007,0.347,GRD
6422,2008,0.33,GRD
6423,2009,0.315,GRD
6424,2010,0.281,GRD
6425,2011,0.6,GRD
6426,2012,0.638,GRD
6427,2013,0.622,GRD
6428,2014,0.511,GRD
6429,2015,0.441,GRD
6430,2016,0.349,GRD
6431,2017,0.185,GRD
6432,2018,0.252,GRD
6433,2019,0.249,GRD
6434,2020,0.37,GRD
6435,2021,0.225,GRD
6436,2022,0.161,GRD
6438,1950,1.016,GLP
6439,1951,2.689,GLP
6440,1952,2.764,GLP
6441,1953,2.776,GLP
6442,1954,2.682,GLP
6443,1955,2.614,GLP
6444,1956,2.623,GLP
6445,1957,2.63,GLP
6446,1958,2.655,GLP
6447,1959,2.679,GLP
6448,1960,2.686,GLP
6449,1961,2.239,GLP
6450,1962,1.652,GLP
6451,1963,1.429,GLP
6452,1964,1.306,GLP
6453,1965,1.302,GLP
6454,1966,1.266,GLP
6455,1967,1.086,GLP
6456,1968,0.67,GLP
6457,1969,0.5,GLP
6458,1970,0.363,GLP
6459,1971,0.243,GLP
6460,1972,0.13,GLP
6461,1973,0.073,GLP
6462,1974,0.285,GLP
6463,1975,0.885,GLP
6464,1976,0.871,GLP
6465,1977,0.604,GLP
6466,1978,0.37,GLP
6467,1979,0.287,GLP
6468,1980,0.21,GLP
6469,1981,0.57,GLP
6470,1982,1.408,GLP
6471,1983,1.876,GLP
6472,1984,1.957,GLP
6473,1985,1.972,GLP
6474,1986,1.947,GLP
6475,1987,1.906,GLP
6476,1988,1.873,GLP
6477,1989,1.72,GLP
6478,1990,1.397,GLP
6479,1991,1.144,GLP
6480,1992,1.067,GLP
6481,1993,1.013,GLP
6482,1994,0.968,GLP
6483,1995,0.923,GLP
6484,1996,0.892,GLP
6485,1997,0.869,GLP
6486,1998,0.507,GLP
6487,1999,-0.285,GLP
6488,2000,-0.365,GLP
6489,2001,-0.464,GLP
6490,2002,-0.533,GLP
6491,2003,-0.596,GLP
6492,2004,-0.649,GLP
6493,2005,-0.708,GLP
6494,2006,0.288,GLP
6495,2007,0.24,GLP
6496,2008,0.094,GLP
6497,2009,-0.088,GLP
6498,2010,0.0,GLP
6499,2011,0.118,GLP
6500,2012,-0.07,GLP
6501,2013,-0.318,GLP
6502,2014,-0.527,GLP
6503,2015,-0.801,GLP
6504,2016,1.137,GLP
6505,2017,2.791,GLP
6506,2018,-1.576,GLP
6507,2019,-0.806,GLP
6508,2020,-0.594,GLP
6509,2021,-3.524,GLP
6510,2022,-3.858,GLP
6512,1950,0.808,GUM
6513,1951,0.904,GUM
6514,1952,0.989,GUM
6515,1953,1.124,GUM
6516,1954,1.203,GUM
6517,1955,1.33,GUM
6518,1956,1.435,GUM
6519,1957,1.538,GUM
6520,1958,1.611,GUM
6521,1959,1.681,GUM
6522,1960,2.45,GUM
6523,1961,2.618,GUM
6524,1962,2.592,GUM
6525,1963,2.541,GUM
6526,1964,2.492,GUM
6527,1965,2.443,GUM
6528,1966,2.344,GUM
6529,1967,2.245,GUM
6530,1968,2.164,GUM
6531,1969,2.145,GUM
6532,1970,2.34,GUM
6533,1971,2.36,GUM
6534,1972,2.343,GUM
6535,1973,2.274,GUM
6536,1974,2.229,GUM
6537,1975,2.094,GUM
6538,1976,2.119,GUM
6539,1977,2.052,GUM
6540,1978,2.021,GUM
6541,1979,2.132,GUM
6542,1980,2.463,GUM
6543,1981,2.489,GUM
6544,1982,2.427,GUM
6545,1983,2.352,GUM
6546,1984,2.309,GUM
6547,1985,2.278,GUM
6548,1986,2.26,GUM
6549,1987,2.248,GUM
6550,1988,2.231,GUM
6551,1989,2.236,GUM
6552,1990,1.864,GUM
6553,1991,1.661,GUM
6554,1992,1.601,GUM
6555,1993,1.529,GUM
6556,1994,1.489,GUM
6557,1995,1.448,GUM
6558,1996,1.352,GUM
6559,1997,1.319,GUM
6560,1998,1.287,GUM
6561,1999,1.323,GUM
6562,2000,0.911,GUM
6563,2001,0.664,GUM
6564,2002,0.554,GUM
6565,2003,0.455,GUM
6566,2004,0.368,GUM
6567,2005,0.31,GUM
6568,2006,0.266,GUM
6569,2007,0.253,GUM
6570,2008,0.262,GUM
6571,2009,0.317,GUM
6572,2010,0.103,GUM
6573,2011,-0.077,GUM
6574,2012,-0.179,GUM
6575,2013,-0.26,GUM
6576,2014,-0.32,GUM
6577,2015,-0.384,GUM
6578,2016,-0.432,GUM
6579,2017,-0.476,GUM
6580,2018,-0.518,GUM
6581,2019,-0.556,GUM
6582,2020,0.987,GUM
6583,2021,0.943,GUM
6584,2022,0.821,GUM
6586,1950,2.514,GTM
6587,1951,2.596,GTM
6588,1952,2.64,GTM
6589,1953,2.634,GTM
6590,1954,2.686,GTM
6591,1955,2.718,GTM
6592,1956,2.746,GTM
6593,1957,2.77,GTM
6594,1958,2.741,GTM
6595,1959,2.883,GTM
6596,1960,2.967,GTM
6597,1961,2.975,GTM
6598,1962,2.949,GTM
6599,1963,2.912,GTM
6600,1964,2.896,GTM
6601,1965,2.876,GTM
6602,1966,2.823,GTM
6603,1967,2.795,GTM
6604,1968,2.723,GTM
6605,1969,2.636,GTM
6606,1970,2.616,GTM
6607,1971,2.557,GTM
6608,1972,2.593,GTM
6609,1973,2.576,GTM
6610,1974,2.49,GTM
6611,1975,2.385,GTM
6612,1976,1.935,GTM
6613,1977,2.453,GTM
6614,1978,2.484,GTM
6615,1979,2.52,GTM
6616,1980,2.541,GTM
6617,1981,2.481,GTM
6618,1982,2.122,GTM
6619,1983,2.766,GTM
6620,1984,2.843,GTM
6621,1985,2.817,GTM
