,year,General government final consumption expenditure (% of GDP),country
460,1962,..,BRB
461,1962,..,BLR
462,1962,..,BEL
463,1962,..,BLZ
464,1962,10.8489920771159,BEN
465,1962,..,BMU
466,1962,..,BTN
467,1962,9.23596771165759,BOL
468,1962,..,BIH
469,1962,20.9110968640238,BWA
470,1962,12.0964094901385,BRA
471,1962,..,VGB
472,1962,..,BRN
473,1962,..,BGR
474,1962,7.54839971644615,BFA
475,1962,3.27868843244904,BDI
476,1962,..,CPV
477,1962,..,KHM
478,1962,..,CMR
479,1962,15.9809779670372,CAN
480,1962,..,CYM
481,1962,20.3278663198068,CAF
482,1962,13.1793637618891,TCD
483,1962,..,Channel Islands
484,1962,10.8534895170964,CHL
485,1962,12.8788529234996,CHN
486,1962,7.04725198250252,COL
487,1962,..,COM
488,1962,..,COD
489,1962,13.7548965612759,COG
490,1962,11.4730419289472,CRI
491,1962,9.46881139333509,CIV
492,1962,..,HRV
493,1962,..,CUB
494,1962,..,CUW
495,1962,..,CYP
496,1962,..,CZE
497,1962,..,DNK
498,1962,..,DJI
499,1962,..,DMA
500,1962,15.3015410751122,DOM
501,1962,9.28521530730304,ECU
502,1962,15.1381486246401,EGY
503,1962,..,SLV
504,1962,..,GNQ
505,1962,..,ERI
506,1962,..,EST
507,1962,..,SWZ
508,1962,..,ETH
509,1962,..,FRO
510,1962,..,FJI
511,1962,..,FIN
512,1962,15.5877167089146,FRA
513,1962,..,PYF
514,1962,10.2019806860606,GAB
515,1962,..,GMB
516,1962,..,GEO
517,1962,..,DEU
518,1962,10.3343465045593,GHA
519,1962,..,GIB
520,1962,12.3297810989905,GRC
521,1962,..,GRL
522,1962,..,GRD
523,1962,..,GUM
524,1962,6.75061210213361,GTM
525,1962,..,GIN
526,1962,..,GNB
527,1962,11.5499700777977,GUY
528,1962,..,HTI
529,1962,10.7027724049001,HND
530,1962,5.73270404052032,HKG
531,1962,..,HUN
532,1962,..,ISL
533,1962,7.77958198935627,IND
534,1962,6.23923301625346,IDN
535,1962,10.2777841948094,IRN
536,1962,..,IRQ
537,1962,..,IRL
538,1962,..,IMN
539,1962,..,ISR
540,1962,..,ITA
541,1962,7.90147969470046,JAM
542,1962,..,JPN
543,1962,..,JOR
544,1962,..,KAZ
545,1962,11.6001194813919,KEN
546,1962,..,KIR
547,1962,..,PRK
548,1962,13.5556162886034,KOR
549,1962,..,XKX
550,1962,..,KWT
551,1962,..,KGZ
552,1962,..,LAO
553,1962,..,LVA
554,1962,..,LBN
555,1962,19.0635451505017,LSO
