,year,v2x_regime,v2x_polyarchy,v2x_liberal,country
323,1987,0.0,0.194,0.721,SUR
324,1988,2.0,0.623,0.738,SUR
325,1989,2.0,0.731,0.773,SUR
326,1990,2.0,0.731,0.73,SUR
327,1991,1.0,0.451,0.721,SUR
328,1992,2.0,0.755,0.827,SUR
329,1993,2.0,0.757,0.844,SUR
330,1994,2.0,0.757,0.846,SUR
331,1995,2.0,0.757,0.846,SUR
332,1996,2.0,0.768,0.851,SUR
333,1997,2.0,0.773,0.851,SUR
334,1998,2.0,0.773,0.851,SUR
335,1999,2.0,0.773,0.851,SUR
336,2000,2.0,0.784,0.851,SUR
337,2001,2.0,0.779,0.852,SUR
338,2002,2.0,0.779,0.852,SUR
339,2003,2.0,0.779,0.852,SUR
340,2004,2.0,0.779,0.852,SUR
341,2005,2.0,0.776,0.852,SUR
342,2006,2.0,0.774,0.852,SUR
343,2007,2.0,0.771,0.852,SUR
344,2008,2.0,0.772,0.852,SUR
345,2009,2.0,0.772,0.852,SUR
346,2010,2.0,0.762,0.833,SUR
347,2011,2.0,0.753,0.833,SUR
348,2012,2.0,0.753,0.831,SUR
349,2013,2.0,0.755,0.833,SUR
350,2014,2.0,0.755,0.833,SUR
351,2015,2.0,0.762,0.833,SUR
352,2016,2.0,0.767,0.813,SUR
353,2017,2.0,0.757,0.829,SUR
354,2018,2.0,0.76,0.804,SUR
355,2019,2.0,0.756,0.763,SUR
356,2020,2.0,0.76,0.839,SUR
357,2021,2.0,0.764,0.841,SUR
358,2022,2.0,0.78,0.838,SUR
359,2023,3.0,0.768,0.825,SUR
522,1950,3.0,0.769,0.956,SWE
523,1951,3.0,0.769,0.957,SWE
